Predicted Passengers,Source Airport,Destination Airport,Quarter Year,Largest Carrier,Predicted Fare,carrier_lg,Revenue
157.62,CLE,BWI,2024.25,WN,193.3205,WN,30471.17721
296.75,DFW,ELP,2024.25,AA,254.54390000000015,AA,75535.90232500005
94.96,CMH,SNA,2024.25,AA,364.12999999999937,AA,34577.784799999936
6.37,CMH,HPN,2024.25,AA,234.28479999999993,AA,1492.3941759999996
295.06,CHS,DFW,2024.25,AA,287.20729999999975,AA,84743.38593799992
2242.69,DEN,LAX,2024.25,UA,198.85380000000004,UA,445967.4287220001
320.01,SDF,LGA,2024.25,DL,206.42910000000023,DL,66059.37629100007
2113.59,DEN,LGA,2024.25,UA,244.13220000000015,UA,515995.37659800035
0.54,SWF,BWI,2024.25,AA,112.4834,AA,60.74103600000001
529.11,CMH,PHX,2024.25,AA,305.5961999999997,AA,161694.00538199986
13.58,SDF,JFK,2024.25,AA,233.7980000000002,AA,3174.9768400000025
9.66,CAK,DFW,2024.25,AA,336.41600000000005,AA,3249.7785600000007
260.19,CMH,PHL,2024.25,AA,294.31989999999973,AA,76579.09478099993
341.95,DEN,LGB,2024.25,WN,157.54959999999994,WN,53874.08571999998
2171.15,SAN,SJC,2024.25,WN,150.9277000000002,WN,327686.67585500045
4.64,SDF,ISP,2024.25,WN,235.34300000000025,WN,1091.9915200000012
1158.24,DEN,MIA,2024.25,AA,237.57229999999993,AA,275165.7407519999
47.47,CMH,ONT,2024.25,WN,339.7503000000002,WN,16127.946741000009
151.13,AMA,DAL,2024.25,WN,173.6468000000002,WN,26243.24088400003
439.5,DEN,OAK,2024.25,WN,227.3266,WN,99910.04070000001
93.31,ABQ,LGB,2024.25,WN,172.72139999999996,WN,16116.633833999997
95.34,SDF,IAD,2024.25,UA,198.08759999999975,UA,18885.671783999976
678.52,DEN,ONT,2024.25,WN,164.41290000000023,WN,111557.44090800015
40.36,CMH,OAK,2024.25,WN,237.54720000000012,WN,9587.404992000005
617.84,CHS,EWR,2024.25,UA,190.52250000000004,UA,117712.42140000004
4.95,SDF,HPN,2024.25,AA,210.72090000000009,AA,1043.0684550000005
6.1,CAK,DEN,2024.25,UA,328.3515999999997,UA,2002.9447599999978
4.61,SWF,ILM,2024.25,AA,106.6269,AA,491.55000900000005
255.07,DEN,ORF,2024.25,UA,261.4772999999999,UA,66695.01491099998
36.17,SWF,DCA,2024.25,AA,107.53849999999998,AA,3889.667545
252.2,SDF,FLL,2024.25,G4,169.4093,G4,42725.02546
0.23,SWF,SFO,2024.25,AA,300.55270000000013,AA,69.12712100000003
208.4,DFW,MFE,2024.25,AA,255.0921,AA,53161.19364
720.23,CLT,MIA,2024.25,AA,241.03839999999968,AA,173603.08683199977
659.91,CLT,PHX,2024.25,AA,322.62699999999967,AA,212904.78356999977
253.17,ROC,TPA,2024.25,WN,218.4049000000001,WN,55293.56853300003
2.98,SWF,SAN,2024.25,AA,145.40689999999984,AA,433.3125619999995
10.62,SWF,SAV,2024.25,AA,104.42799999999995,AA,1109.0253599999994
2427.16,DFW,LGA,2024.25,AA,264.68460000000005,AA,642431.873736
677.29,CLT,TPA,2024.25,AA,230.5135,AA,156124.488415
317.05,RSW,IAD,2024.25,DL,214.07249999999985,DL,67871.68612499995
77.76,BZN,SNA,2024.25,DL,234.40499999999977,DL,18227.332799999982
2.25,DFW,LGB,2024.25,AA,284.5979000000005,AA,640.3452750000012
5.61,SWF,SAT,2024.25,DL,120.58490000000002,DL,676.4812890000002
294.97,RSW,HPN,2024.25,B6,229.9467999999999,B6,67827.40759599998
17.41,CLT,SWF,2024.25,AA,104.16869999999996,AA,1813.5770669999993
468.0,CLT,SFO,2024.25,AA,417.0707000000005,AA,195189.08760000023
162.25,DFW,LIT,2024.25,AA,249.6925999999999,AA,40512.624349999984
149.38,CLT,SNA,2024.25,AA,389.9449000000006,AA,58249.96916200009
123.76,DFW,MAF,2024.25,AA,255.8297,AA,31661.483672000002
410.83,RSW,DCA,2024.25,B6,209.6660999999999,B6,86137.12386299996
1242.98,DFW,MIA,2024.25,AA,264.34740000000005,AA,328578.5312520001
69.91,CHS,ISP,2024.25,WN,143.8561,WN,10056.979951
525.2,DFW,MCI,2024.25,AA,229.5210999999998,AA,120544.4817199999
1988.75,DFW,MCO,2024.25,AA,218.73669999999996,AA,435012.6121249999
6.95,ATL,CAK,2024.25,DL,251.05710000000013,DL,1744.846845000001
0.8,SWF,SEA,2024.25,DL,210.84619999999987,DL,168.6769599999999
55.11,CLT,SJC,2024.25,AA,347.78850000000006,AA,19166.624235000003
453.25,RSW,BWI,2024.25,WN,243.95000000000024,WN,110570.33750000011
448.37,DFW,MEM,2024.25,AA,233.1020999999998,AA,104515.98857699991
10.52,RSW,BUR,2024.25,AA,343.4682000000003,AA,3613.2854640000032
1447.56,RSW,EWR,2024.25,UA,217.79839999999996,UA,315276.25190399995
624.96,DFW,PDX,2024.25,AA,306.0699000000001,AA,191281.44470400005
3.61,DEN,PHF,2024.25,AA,308.85330000000044,AA,1114.9604130000016
541.87,STL,TPA,2024.25,WN,220.6533999999997,WN,119565.45785799983
205.08,DFW,BUR,2024.25,AA,333.5691000000003,AA,68408.35102800006
1.24,SWF,PBI,2024.25,AA,114.28729999999996,AA,141.71625199999994
226.76,CMH,JFK,2024.25,DL,205.13730000000024,DL,46516.93414800005
776.72,DFW,BWI,2024.25,AA,227.50020000000004,AA,176703.95534400005
266.53,SAT,SFO,2024.25,UA,265.14799999999997,UA,70669.89643999998
56.56,CHS,HOU,2024.25,WN,242.46829999999977,WN,13714.007047999987
1053.89,DFW,DCA,2024.25,AA,309.16049999999956,AA,325821.1593449996
105.8,SAT,OAK,2024.25,WN,219.9892000000002,WN,23274.85736000002
17.39,SWF,PDX,2024.25,DL,239.3182999999999,DL,4161.745236999998
35.21,CAK,BNA,2024.25,AA,131.87189999999998,AA,4643.209599
7.61,CMH,ISP,2024.25,WN,238.0838999999998,WN,1811.8184789999987
369.96,SAT,IAD,2024.25,UA,277.87889999999976,UA,102804.07784399991
2027.01,DFW,DEN,2024.25,AA,191.3348999999998,AA,387837.7556489996
18.73,CAE,SWF,2024.25,AA,105.8936999999999,AA,1983.3890009999982
742.94,DFW,BNA,2024.25,AA,259.31909999999965,AA,192658.53215399975
309.91,SAT,DCA,2024.25,AA,258.5722,AA,80134.11050200001
244.79,CMH,IAH,2024.25,UA,297.9034000000002,UA,72923.77328600005
213.17,DFW,DSM,2024.25,AA,256.98790000000014,AA,54782.11064300003
1231.51,DFW,DTW,2024.25,AA,250.12409999999977,AA,308030.33039099973
136.62,CMH,IAD,2024.25,UA,209.1941999999999,UA,28580.111603999987
376.8,SAT,BWI,2024.25,WN,276.25099999999975,WN,104091.37679999991
473.68,ABQ,LAX,2024.25,WN,218.35950000000005,WN,103432.52796000002
150.47,CAE,LGA,2024.25,DL,251.96709999999956,DL,37913.489536999936
151.68,DFW,ECP,2024.25,AA,256.1674999999999,AA,38855.48639999999
454.97,SAN,TPA,2024.25,WN,256.4716000000003,WN,116686.88385200014
0.34,SWF,PHX,2024.25,AA,142.73569999999995,AA,48.53013799999999
101.51,SAT,SJC,2024.25,WN,255.85060000000033,WN,25971.394406000036
624.02,CMH,LAS,2024.25,WN,236.4563999999999,WN,147553.52272799992
2.0,SWF,PHF,2024.25,AA,264.3899000000001,AA,528.7798000000003
665.94,DEN,JFK,2024.25,DL,240.7834999999997,DL,160347.3639899998
244.35,SDF,EWR,2024.25,UA,210.8186,UA,51513.52491
274.13,CMH,MSP,2024.25,DL,285.99770000000035,DL,78400.54950100009
374.37,CMH,RSW,2024.25,WN,222.8828000000001,WN,83440.63383600004
259.71,CMH,SFO,2024.25,UA,319.61930000000024,UA,83008.32840300005
870.14,DEN,DCA,2024.25,F9,231.4477000000001,F9,201391.90167800008
593.13,SEA,BWI,2024.25,AS,309.33329999999984,AS,183474.8602289999
317.12,STL,BWI,2024.25,WN,233.91479999999973,WN,74179.06137599991
1229.65,DEN,EWR,2024.25,UA,296.3382000000002,UA,364392.26763000025
417.03,CHS,DCA,2024.25,AA,218.5988,AA,91162.257564
325.17,SDF,TPA,2024.25,WN,194.6644000000002,WN,63299.02294800007
952.88,DEN,FLL,2024.25,UA,258.18490000000037,UA,246019.22751200036
40.23,CMH,SJC,2024.25,WN,320.9200000000003,WN,12910.611600000011
720.53,STL,DCA,2024.25,WN,199.71950000000015,WN,143903.8913350001
18.81,SDF,SWF,2024.25,AA,105.8936999999999,AA,1991.8604969999978
25.28,CAK,FLL,2024.25,AA,180.40359999999987,AA,4560.603007999997
3326.13,DEN,PHX,2024.25,WN,176.59399999999968,WN,587374.6012199989
873.56,DEN,HOU,2024.25,WN,182.0515000000001,WN,159032.90834000008
178.95,SDF,MIA,2024.25,AA,252.6061999999997,AA,45203.87948999994
18.95,DEN,HPN,2024.25,AA,260.56779999999964,AA,4937.759809999993
91.37,ABQ,MDW,2024.25,WN,248.63970000000015,WN,22718.209389000014
35.66,ALB,SNA,2024.25,UA,431.92559999999975,UA,15402.466895999989
1254.01,DEN,IAD,2024.25,UA,278.0969000000005,UA,348736.29356900067
360.67,CMH,SEA,2024.25,AS,274.9912000000002,AS,99181.07610400008
1659.3,DEN,IAH,2024.25,UA,232.38030000000015,UA,385588.63179000025
215.75,SDF,PHX,2024.25,WN,304.22520000000003,WN,65636.58690000001
