departure,arrival,time_of_year,price
ABE,PIE,2026.5,103.33980000000004
ABE,TPA,2026.5,210.7223
ABQ,DAL,2026.5,200.4029
ABQ,DFW,2026.5,250.5941999999997
ABQ,PHX,2026.5,191.3956
ABQ,BOS,2026.5,322.53669999999977
ABQ,MHT,2026.5,282.78890000000035
ABQ,PVD,2026.5,322.14739999999966
ABQ,BWI,2026.5,303.7430000000001
ABQ,DCA,2026.5,324.6766999999998
ABQ,IAD,2026.5,330.8477
ABQ,MDW,2026.5,248.63970000000012
ABQ,ORD,2026.5,283.55219999999974
ABQ,HOU,2026.5,236.6738999999997
ABQ,IAH,2026.5,272.0276999999999
ABQ,EWR,2026.5,306.4621000000004
ABQ,HPN,2026.5,306.8625000000001
ABQ,ISP,2026.5,284.6838000000006
ABQ,JFK,2026.5,249.1994000000004
ABQ,LGA,2026.5,274.1606000000004
ABQ,SWF,2026.5,105.8936999999999
ABQ,OAK,2026.5,231.88290000000015
ABQ,SFO,2026.5,275.5635999999999
ABQ,SJC,2026.5,246.18990000000048
ABQ,BUR,2026.5,211.13849999999968
ABQ,LAX,2026.5,218.35950000000005
ABQ,LGB,2026.5,172.72139999999996
ABQ,ONT,2026.5,253.37710000000013
ABQ,SNA,2026.5,241.0613999999996
ACK,EWR,2026.5,203.8309
ACK,HPN,2026.5,207.86200000000017
ACK,JFK,2026.5,194.2571000000001
ACK,LGA,2026.5,195.16830000000013
COS,DAL,2026.5,167.67099999999994
COS,DFW,2026.5,228.32170000000028
COS,PHX,2026.5,173.1912999999999
COS,BWI,2026.5,261.9778999999998
COS,DCA,2026.5,259.4309999999999
COS,IAD,2026.5,276.5511999999997
COS,BUR,2026.5,169.37280000000018
COS,LAX,2026.5,240.2065
COS,LGB,2026.5,154.71529999999993
COS,ONT,2026.5,227.94000000000003
COS,SNA,2026.5,235.04860000000025
DAL,PIT,2026.5,224.89479999999992
DFW,PIT,2026.5,278.75960000000026
DAL,DEN,2026.5,189.29410000000016
DFW,DEN,2026.5,191.3348999999998
DAL,TUS,2026.5,246.37469999999996
DFW,TUS,2026.5,312.29330000000056
DAL,PHX,2026.5,220.53939999999997
DFW,PHX,2026.5,261.62890000000004
DAL,BDL,2026.5,281.8076000000001
DFW,BDL,2026.5,363.4540000000002
DAL,SEA,2026.5,243.70769999999968
DFW,SEA,2026.5,279.52809999999977
DAL,ELP,2026.5,193.99449999999976
DFW,ELP,2026.5,254.54390000000012
DAL,BNA,2026.5,211.57359999999997
DFW,BNA,2026.5,259.31909999999965
DAL,BWI,2026.5,210.73280000000003
DAL,DCA,2026.5,200.29890000000023
DAL,IAD,2026.5,233.8653000000001
DFW,BWI,2026.5,227.50020000000004
DFW,DCA,2026.5,309.1604999999996
DFW,IAD,2026.5,256.3681999999997
DAL,STL,2026.5,210.75510000000003
DFW,STL,2026.5,255.35329999999988
DAL,MYR,2026.5,141.33820000000017
DFW,MYR,2026.5,248.2815
DAL,JAX,2026.5,236.1154999999997
DFW,JAX,2026.5,280.25649999999973
DAL,DTW,2026.5,234.94470000000004
DFW,DTW,2026.5,250.12409999999977
DAL,DSM,2026.5,207.2194000000002
DFW,DSM,2026.5,256.98790000000014
DAL,HOU,2026.5,194.11800000000025
DAL,IAH,2026.5,171.97190000000012
DFW,HOU,2026.5,211.01529999999985
DFW,IAH,2026.5,214.19329999999988
DAL,MCO,2026.5,198.63719999999975
DFW,MCO,2026.5,218.7367
DAL,ECP,2026.5,221.1914
DFW,ECP,2026.5,256.1674999999999
DAL,VPS,2026.5,212.7978000000002
DFW,VPS,2026.5,264.94359999999995
DAL,FAT,2026.5,229.73560000000012
DFW,FAT,2026.5,307.26930000000027
DAL,MSP,2026.5,218.57620000000009
DFW,MSP,2026.5,266.0425999999997
DAL,EWR,2026.5,264.4723999999997
DAL,HPN,2026.5,269.04409999999973
DAL,ISP,2026.5,308.3919000000004
DAL,JFK,2026.5,308.6785000000006
DAL,LGA,2026.5,211.76709999999997
DFW,EWR,2026.5,251.1381
DFW,HPN,2026.5,292.2122999999996
DFW,ISP,2026.5,125.65709999999996
DFW,JFK,2026.5,246.47789999999995
DFW,LGA,2026.5,264.68460000000005
DFW,SWF,2026.5,104.96839999999996
DAL,RSW,2026.5,256.73069999999984
DFW,RSW,2026.5,318.9818999999998
DAL,GSP,2026.5,230.0167999999999
DFW,GSP,2026.5,321.84550000000024
DAL,GEG,2026.5,212.5400999999999
DFW,GEG,2026.5,255.0921
DAL,GRR,2026.5,231.3008999999997
DFW,GRR,2026.5,317.9485999999999
DAL,HRL,2026.5,200.41949999999983
DFW,HRL,2026.5,220.32220000000007
DAL,LAS,2026.5,230.2635
DFW,LAS,2026.5,247.35019999999977
